,open,high,low,close,simple_return,log_return,cum_return,equity_curve,rolling_peak,drawdown,SMA_20,SMA_50,RSI_14,EMA_12,EMA_26,MACD,MACD_signal,SMA_signal,SMA_position,SMA_return,SMA_equity,RSI_signal,RSI_position,RSI_return,RSI_equity,MACD_signal_bin,MACD_position,MACD_return,MACD_equity
2007-01-17,1.2917,1.295,1.2898,1.2938,,,,,,,,,,1.2938,1.2938,0.0,0.0,0,,,,0,,,,0,,,
2007-01-18,1.2938,1.2976,1.2896,1.2963,0.0019322924717883,0.0019304279961119,0.0019322924717883,1.0019322924717884,1.0019322924717884,0.0,,,,1.2941846153846155,1.2939851851851853,0.0001994301994301395,3.98860398860279e-05,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,0.0,0.0,1.0
2007-01-19,1.2963,1.3001,1.2914,1.2961,-0.0001542852734706,-0.0001542971766677,0.0017777090740453,1.0017777090740454,1.0019322924717884,-0.0001542852734706,,,,1.2944792899408284,1.2941418381344307,0.0003374518063976595,9.939919318835422e-05,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,1,1.0,-0.0001542852734706,0.9998457147265294
2007-01-22,1.2959,1.2977,1.2923,1.2949,-0.0009258544865365,-0.000926283354535,0.0008502086875867,1.0008502086875868,1.0019322924717884,-0.0010799969142946,,,,1.2945440145653162,1.294197998272621,0.00034601629269515044,0.00014872261308971347,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,1,1.0,-0.0009258544865365,0.9989200030857056
2007-01-23,1.2949,1.3044,1.2929,1.3026,0.005946405127809,0.0059287950375067,0.0068016695006953,1.0068016695006954,1.0068016695006954,0.0,,,,1.2957833969398829,1.2948203687709454,0.000963028168937452,0.0003115837242592612,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.005946405127809,1.0048599861143255
2007-01-24,1.3025,1.3036,1.2948,1.297,-0.0042990941194533,-0.0043083617958572,0.0024733343638891,1.0024733343638892,1.0068016695006954,-0.0042990941194532,,,,1.2959705666414392,1.2949818229360606,0.000988743705378603,0.00044701572048312963,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,1,1.0,-0.0042990941194533,1.0005399984571475
2007-01-25,1.2969,1.3001,1.2915,1.2931,-0.0030069390902082,-0.0030114690146379,-0.0005410418921009,0.9994589581078992,1.0068016695006954,-0.0072931060955011,,,,1.2955289410042947,1.2948424286445006,0.0006865123597941114,0.0004949150483453261,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,1,1.0,-0.0030069390902082,0.9975314356244698
2007-01-26,1.2931,1.2944,1.2878,1.2915,-0.0012373366328976,-0.0012381027659106,-0.0017777090740455,0.9982222909259544,1.0068016695006954,-0.0085214187010592,,,,1.2949091039267109,1.2945948413375006,0.00031426258921030126,0.0004587845565183211,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,1.0,-0.0012373366328976,0.9962971534367047
2007-01-29,1.2916,1.2966,1.2897,1.2957,0.0032520325203251,0.0032467560988698,0.0014685422785591,1.0014685422785592,1.0068016695006954,-0.0052970981114691,,,,1.2950307802456784,1.2946767049421302,0.00035407530354825134,0.00043784270592430716,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,0.9962971534367047
2007-01-30,1.2956,1.298,1.2944,1.2969,0.0009261403102569,0.0009257117069306,0.0023960426650175,1.0023960426650176,1.0068016695006954,-0.0043758636573006,,,,1.295318352515574,1.2948413934649354,0.00047695905063860344,0.0004456659748671664,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,0.0,0.0,0.9962971534367047
2007-01-31,1.2968,1.3036,1.2924,1.3033,0.004934844629501,0.0049227081949781,0.0073427113927961,1.0073427113927962,1.0073427113927962,0.0,,,,1.2965462982824087,1.2954679569119774,0.0010783413704313904,0.0005722010539800113,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.004934844629501,1.001213725093729
2007-02-01,1.3032,1.305,1.3,1.3021,-0.0009207396608608,-0.0009211638019913,0.0064152110063377,1.0064152110063378,1.0073427113927962,-0.0009207396608608,,,,1.2974007139312689,1.295959219362942,0.0014414945683269842,0.0007460597568494059,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,1,1.0,-0.0009207396608608,1.000291867908037
2007-02-02,1.3022,1.3064,1.2951,1.2961,-0.0046079410183549,-0.0046185903053532,0.0017777090740453,1.0017777090740454,1.0073427113927962,-0.0055244379651652,,,,1.2972006040956892,1.2959696475582794,0.0012309565374097886,0.0008430391129614826,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,1,1.0,-0.0046079410183549,0.9956825819795767
2007-02-05,1.296,1.2966,1.2913,1.2928,-0.0025460998379754,-0.0025493466624984,-0.0007729169887155,0.9992270830112844,1.0073427113927962,-0.0080564720325326,,,48.88888888888876,1.2965235880809678,1.2957348588502589,0.00078872923070894,0.0008321771365109741,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,1.0,-0.0025460998379754,0.9931474747189236
2007-02-06,1.2928,1.299,1.2912,1.2983,0.0042543316831684,0.0042453075993769,0.0034781264492194,1.0034781264492194,1.0073427113927962,-0.0038364152535868,,,54.45544554455443,1.2967968822223574,1.2959248693057954,0.0008720129165620261,0.0008401442925211846,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,0.0,0.0,0.9931474747189236
2007-02-07,1.2983,1.3024,1.2966,1.3012,0.0022336902102748,0.0022311992329885,0.005719585716494,1.005719585716494,1.0073427113927962,-0.0016112944065064,,,54.81335952848716,1.2974742849573795,1.2963156197275882,0.0011586652297912448,0.0009038484799751967,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.0022336902102748,0.9953658585105625
2007-02-08,1.301,1.3041,1.2975,1.304,0.0021518598217031,0.002149547887402,0.0078837532848972,1.0078837532848972,1.0078837532848972,0.0,,,57.383177570093494,1.2984782411177826,1.2968848330811003,0.0015934080366823977,0.001041760391316637,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.0021518598217031,0.9975077463093864
2007-02-09,1.3041,1.3044,1.2982,1.3005,-0.0026840490797546,-0.002687657597892,0.0051785438243932,1.0051785438243932,1.0078837532848972,-0.0026840490797546,,,55.017921146953455,1.2987892809458161,1.297152623223241,0.0016366577225750412,0.0011607398575683178,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,1,1.0,-0.0026840490797546,0.9948303865608566
2007-02-12,1.2991,1.3036,1.294,1.2966,-0.0029988465974625,-0.0030033521478109,0.0021641675684029,1.002164167568403,1.0078837532848972,-0.005674846625767,,,44.230769230769205,1.2984524684926138,1.2971116881696676,0.0013407803229461557,0.0011967479506438854,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,1,1.0,-0.0029988465974625,0.9918470428410663
2007-02-13,1.2966,1.3043,1.2954,1.3037,0.0054758599413853,0.0054609219278379,0.0076518781882826,1.0076518781882826,1.0078837532848972,-0.0002300613496932,1.297825,,56.261682242990815,1.2992597810322117,1.2975997112682107,0.0016600697640010154,0.0012894123133153114,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.0054758599413853,0.9972782583309412
2007-02-14,1.3038,1.3149,1.3024,1.3129,0.0070568382296538,0.0070320552713313,0.0147627144844642,1.0147627144844642,1.0147627144844642,0.0,1.29878,,66.83673469387766,1.3013582762580254,1.2987330659890841,0.002625210268941247,0.0015565719044404987,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.0070568382296538,1.0043158896699336
2007-02-15,1.3129,1.3171,1.3118,1.314,0.0008378398964126,0.0008374891044912,0.0156129231720512,1.0156129231720512,1.0156129231720512,0.0,1.299665,,69.29674099485416,1.3033031568337137,1.2998639499898927,0.00343920684382093,0.001933098892316585,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.0008378398964126,1.0051573455909002
2007-02-16,1.314,1.3146,1.3094,1.3137,-0.0002283105022831,-0.0002283365690934,0.0153810480754366,1.0153810480754366,1.0156129231720512,-0.0002283105022831,1.300545,,66.54411764705884,1.3049026711669884,1.3008888425832341,0.00401382858375432,0.002349244830604132,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,1,1.0,-0.0002283105022831,1.0049278576124547
2007-02-19,1.3146,1.3163,1.3122,1.3155,0.0013701758392326,0.0013692380048849,0.0167722986551241,1.0167722986551242,1.0167722986551242,0.0,1.301575,,66.90909090909088,1.3065330294489903,1.3019711505400315,0.004561878908958761,0.002791771646275058,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.0013701758392326,1.006304785483127
2007-02-20,1.3155,1.3189,1.3129,1.3137,-0.0013683010262256,-0.0013692380048849,0.0153810480754366,1.0153810480754366,1.0167722986551242,-0.0013683010262256,1.30213,,60.31746031746055,1.3076356403029918,1.302839954203733,0.004795686099258845,0.0031925545368718155,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,1,1.0,-0.0013683010262256,1.0049278576124547
2007-02-21,1.3132,1.3165,1.3111,1.3139,0.0001522417599146,0.000152230172314,0.0155356314731796,1.0155356314731796,1.0167722986551242,-0.0012162675788672,1.302975,,61.943319838056745,1.3085993879486855,1.3036592168553085,0.004940171093376966,0.0035420778481728456,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.0001522417599146,1.005080849598085
